# Frequency (cm-1)	Intensity (arb. units)
1059.40	2.465872e-10
1060.73	2.448590e-10
1062.07	2.431453e-10
1063.40	2.414460e-10
1064.74	2.397611e-10
1066.07	2.380902e-10
1067.41	2.364333e-10
1068.74	2.347903e-10
1070.07	2.331610e-10
1071.41	2.315453e-10
1072.74	2.299431e-10
1074.08	2.283542e-10
1075.41	2.267785e-10
1076.74	2.252158e-10
1078.08	2.236661e-10
1079.41	2.221293e-10
1080.75	2.206051e-10
1082.08	2.190935e-10
1083.42	2.175944e-10
1084.75	2.161076e-10
1086.08	2.146331e-10
1087.42	2.131706e-10
1088.75	2.117202e-10
1090.09	2.102816e-10
1091.42	2.088548e-10
1092.76	2.074396e-10
1094.09	2.060360e-10
1095.42	2.046438e-10
1096.76	2.032629e-10
1098.09	2.018933e-10
1099.43	2.005347e-10
1100.76	1.991872e-10
1102.10	1.978506e-10
1103.43	1.965248e-10
1104.76	1.952096e-10
1106.10	1.939051e-10
1107.43	1.926111e-10
1108.77	1.913275e-10
1110.10	1.900542e-10
1111.44	1.887911e-10
1112.77	1.875381e-10
1114.10	1.862951e-10
1115.44	1.850620e-10
1116.77	1.838388e-10
1118.11	1.826254e-10
1119.44	1.814216e-10
1120.78	1.802273e-10
1122.11	1.790425e-10
1123.44	1.778672e-10
1124.78	1.767011e-10
1126.11	1.755442e-10
1127.45	1.743965e-10
1128.78	1.732578e-10
1130.12	1.721280e-10
1131.45	1.710072e-10
1132.78	1.698951e-10
1134.12	1.687918e-10
1135.45	1.676971e-10
1136.79	1.666110e-10
1138.12	1.655333e-10
1139.45	1.644641e-10
1140.79	1.634032e-10
1142.12	1.623505e-10
1143.46	1.613060e-10
1144.79	1.602697e-10
1146.13	1.592413e-10
1147.46	1.582209e-10
1148.79	1.572084e-10
1150.13	1.562037e-10
1151.46	1.552068e-10
1152.80	1.542175e-10
1154.13	1.532359e-10
1155.47	1.522617e-10
1156.80	1.512951e-10
1158.13	1.503358e-10
1159.47	1.493839e-10
1160.80	1.484393e-10
1162.14	1.475019e-10
1163.47	1.465716e-10
1164.81	1.456483e-10
1166.14	1.447321e-10
1167.47	1.438229e-10
1168.81	1.429205e-10
1170.14	1.420250e-10
1171.48	1.411363e-10
1172.81	1.402542e-10
1174.15	1.393788e-10
1175.48	1.385100e-10
1176.81	1.376478e-10
1178.15	1.367920e-10
1179.48	1.359426e-10
1180.82	1.350996e-10
1182.15	1.342629e-10
1183.49	1.334324e-10
1184.82	1.326082e-10
1186.15	1.317901e-10
1187.49	1.309780e-10
1188.82	1.301721e-10
