# Equilibrium harmonic reference (FWHM=10 cm-1)
# # frequency_cm-1,intensity_normalized
2.860000000000000000e+02,6.655582162079105510e-03
2.870000000000000000e+02,6.518113989412870068e-03
2.880000000000000000e+02,6.378799029045180424e-03
2.890000000000000000e+02,6.234449958975370014e-03
2.900000000000000000e+02,6.084185074259238282e-03
2.910000000000000000e+02,5.929356936268912436e-03
2.920000000000000000e+02,5.772926196650458343e-03
2.930000000000000000e+02,5.618562664604332194e-03
2.940000000000000000e+02,5.469818325506707948e-03
2.950000000000000000e+02,5.329590028845166208e-03
2.960000000000000000e+02,5.199907783876003310e-03
2.970000000000000000e+02,5.081964836669965527e-03
2.980000000000000000e+02,4.976274479165173834e-03
2.990000000000000000e+02,4.882862465695650411e-03
3.000000000000000000e+02,4.801442786750874901e-03
3.010000000000000000e+02,4.731556064026209291e-03
3.020000000000000000e+02,4.672668465773937262e-03
3.030000000000000000e+02,4.624237334040512924e-03
3.040000000000000000e+02,4.585751877590852309e-03
3.050000000000000000e+02,4.556756586742869049e-03
3.060000000000000000e+02,4.536863383117257023e-03
3.070000000000000000e+02,4.525756838921871777e-03
3.080000000000000000e+02,4.523195421915922158e-03
3.090000000000000000e+02,4.529010703496139795e-03
3.100000000000000000e+02,4.543105761051347349e-03
3.110000000000000000e+02,4.565453537510437768e-03
3.120000000000000000e+02,4.596095621908808868e-03
3.130000000000000000e+02,4.635141730821525433e-03
3.140000000000000000e+02,4.682770062810304862e-03
3.150000000000000000e+02,4.739228640064038940e-03
3.160000000000000000e+02,4.804837725690951945e-03
3.170000000000000000e+02,4.879993400475808769e-03
3.180000000000000000e+02,4.965172392450021600e-03
3.190000000000000000e+02,5.060938272281898485e-03
3.200000000000000000e+02,5.167949155105595709e-03
3.210000000000000000e+02,5.286967084050435070e-03
3.220000000000000000e+02,5.418869312339392834e-03
3.230000000000000000e+02,5.564661749923598306e-03
3.240000000000000000e+02,5.725494898165987140e-03
3.250000000000000000e+02,5.902682663349914302e-03
3.260000000000000000e+02,6.097724518237141247e-03
3.270000000000000000e+02,6.312331572070841237e-03
3.280000000000000000e+02,6.548457214710140875e-03
3.290000000000000000e+02,6.808333120908192926e-03
3.300000000000000000e+02,7.094511535968880782e-03
3.310000000000000000e+02,7.409914911995108856e-03
3.320000000000000000e+02,7.757894118965546169e-03
3.330000000000000000e+02,8.142296605128459749e-03
3.340000000000000000e+02,8.567546004662460191e-03
3.350000000000000000e+02,9.038734748469551619e-03
3.360000000000000000e+02,9.561731160493235418e-03
3.370000000000000000e+02,1.014330220790680276e-02
3.380000000000000000e+02,1.079125234110727208e-02
3.390000000000000000e+02,1.151457742358267047e-02
3.400000000000000000e+02,1.232363016180990783e-02
3.410000000000000000e+02,1.323028900034776620e-02
3.420000000000000000e+02,1.424811507718674528e-02
3.430000000000000000e+02,1.539246994741947511e-02
3.440000000000000000e+02,1.668054809856049300e-02
3.450000000000000000e+02,1.813124971894377116e-02
3.460000000000000000e+02,1.976477700357457540e-02
3.470000000000000000e+02,2.160177791932786640e-02
3.480000000000000000e+02,2.366178379754068153e-02
3.490000000000000000e+02,2.596059847137706725e-02
3.500000000000000000e+02,2.850622305517696783e-02
3.510000000000000000e+02,3.129290520032004808e-02
3.520000000000000000e+02,3.429310786033364089e-02
3.530000000000000000e+02,3.744779222660325757e-02
3.540000000000000000e+02,4.065660971045401834e-02
3.550000000000000000e+02,4.377142021954561618e-02
3.560000000000000000e+02,4.659843688760636343e-02
3.570000000000000000e+02,4.891470794727589139e-02
3.580000000000000000e+02,5.050141952493113900e-02
3.590000000000000000e+02,5.118875740407318603e-02
3.600000000000000000e+02,5.089795287686765812e-02
3.610000000000000000e+02,4.966275430491222387e-02
3.620000000000000000e+02,4.762007891865402409e-02
3.630000000000000000e+02,4.497439234805690467e-02
3.640000000000000000e+02,4.195185395753290442e-02
3.650000000000000000e+02,3.876110657855858649e-02
3.660000000000000000e+02,3.556987889807022157e-02
3.670000000000000000e+02,3.249759766876917505e-02
3.680000000000000000e+02,2.961906682913675523e-02
3.690000000000000000e+02,2.697344711136193812e-02
3.700000000000000000e+02,2.457429442277203613e-02
3.710000000000000000e+02,2.241837977933751336e-02
3.720000000000000000e+02,2.049248746095539558e-02
3.730000000000000000e+02,1.877821171575988837e-02
3.740000000000000000e+02,1.725511277524399700e-02
3.750000000000000000e+02,1.590266101201525187e-02
3.760000000000000000e+02,1.470134590794618286e-02
3.770000000000000000e+02,1.363323921243209981e-02
3.780000000000000000e+02,1.268221796980294538e-02
3.790000000000000000e+02,1.183398613844466839e-02
3.800000000000000000e+02,1.107598469472422485e-02
3.810000000000000000e+02,1.039724646570193076e-02
3.820000000000000000e+02,9.788229633833895812e-03
3.830000000000000000e+02,9.240649513836768358e-03
3.840000000000000000e+02,8.747319214991652880e-03
3.850000000000000000e+02,8.302004317700692124e-03
3.860000000000000000e+02,7.899293448085311850e-03
3.870000000000000000e+02,7.534484793487567465e-03
3.880000000000000000e+02,7.203487624091496969e-03
3.890000000000000000e+02,6.902737427213762565e-03
3.900000000000000000e+02,6.629123105138059503e-03
3.910000000000000000e+02,6.379924701172600375e-03
3.920000000000000000e+02,6.152760220731134932e-03
3.930000000000000000e+02,5.945540256374336717e-03
3.940000000000000000e+02,5.756429279997706851e-03
3.950000000000000000e+02,5.583812616321127444e-03
3.960000000000000000e+02,5.426268251677995001e-03
3.970000000000000000e+02,5.282542757433723694e-03
3.980000000000000000e+02,5.151530717352002971e-03
3.990000000000000000e+02,5.032257143433284396e-03
4.000000000000000000e+02,4.923862446427464644e-03
4.010000000000000000e+02,4.825589596912803828e-03
4.020000000000000000e+02,4.736773172130160497e-03
4.030000000000000000e+02,4.656830034192540116e-03
4.040000000000000000e+02,4.585251428253321083e-03
4.050000000000000000e+02,4.521596325963121200e-03
4.060000000000000000e+02,4.465485871177058384e-03
4.070000000000000000e+02,4.416598812357214361e-03
4.080000000000000000e+02,4.374667830295552416e-03
4.090000000000000000e+02,4.339476691406191078e-03
4.100000000000000000e+02,4.310858176566909408e-03
4.110000000000000000e+02,4.288692753928292391e-03
4.120000000000000000e+02,4.272907981806204313e-03
4.130000000000000000e+02,4.263478645244246287e-03
4.140000000000000000e+02,4.260427647563553785e-03
4.150000000000000000e+02,4.263827696666671815e-03
